1	624
2	130
3	187
4	0
5	29
6	2655
7	0
8	892
9	0
10	7
11	0
12	0
13	0
14	116
15	0
16	0
17	0
18	0
19	5318
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	2076
28	3143
29	3114
30	1837
31	3533
32	1511
33	2362
34	0
35	0
36	1279
37	1674
38	0
39	0
40	3560
41	0
42	1531
43	0
44	8706
45	6379
46	0
47	0
48	3040
49	0
50	3299
51	0
52	0
53	0
54	0
55	0
56	3021
57	4256
58	2171
59	0
60	73
61	12587
62	2865
63	0
64	0
65	0
66	7585
67	0
68	0
69	705
70	0
71	5230
72	0
73	0
74	2383
75	0
76	0
77	0
78	144
79	17586
80	0
81	0
82	33
83	3349
84	0
85	0
86	5354
87	2536
88	9908
89	82795
90	0
91	12777
92	33754
93	0
94	1506
95	5281
96	13649
97	0
98	28409
99	5803
100	3423
101	7581
102	59868
103	47952
104	14650
105	0
106	0
107	1315
108	18274
109	20
110	11833
111	15564
112	16905
113	9360
114	0
115	27787
116	4099
117	28703
118	3781
119	18341
120	9926
121	11058
122	0
123	13035
124	13548
125	0
126	2141
127	16597
128	9853
129	7992
130	6470
131	15748
132	12851
